,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,emi_per_month,price,zero_downpayment
36,Maruti Swift,Maruti,ZXI PLUS,2018,Manual,"38,863",2nd,PetrolKA-53,"₹13,001/month","₹6,65,000",Zero Down Payment
37,Honda Jazz,Honda,1.2 SELECT I VTEC,2012,Manual,"69,125",1st,PetrolKA-04,"₹7,605/month","₹3,89,000",Zero Down Payment
38,Maruti Eeco,Maruti,7 STR,2021,Manual,"19,088",2nd,PetrolKA-04,"₹8,641/month","₹4,42,000",Zero Down Payment
39,Maruti Alto,Maruti,LXI,2011,Manual,"47,671",1st,PetrolKA-01,"₹4,281/month","₹2,19,000",Zero Down Payment
40,Hyundai Grand i10,Hyundai,AGNA AT 1.2 KAPPA VTVT,2018,Automatic,"50,646",2nd,PetrolKA-05,"₹10,987/month","₹5,62,000",Zero Down Payment
41,Volkswagen Polo,Volkswagen,Trendline 1.0 L Petro,2018,Manual,"69,629",1st,PetrolKA-01,"₹11,261/month","₹5,76,000",Zero Down Payment
42,Maruti Alto,Maruti,LXI,2019,Manual,"36,340",1st,PetrolKA-51,"₹7,566/month","₹3,87,000",Zero Down Payment
43,Honda Jazz,Honda,1.2L I-VTEC V AT,2017,Automatic,"69,054",1st,PetrolKA-05,"₹13,783/month","₹7,05,000",Zero Down Payment
44,HYUNDAI GRAND I10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2015,Manual,"41,241",1st,PetrolKA-51,"₹8,974/month","₹4,59,000",Zero Down Payment
45,Hyundai Grand i10,Hyundai,STA AT 1.2 KAPPA VTVT,2016,Automatic,"48,907",2nd,PetrolKA-22,"₹11,065/month","₹5,66,000",Zero Down Payment
46,Hyundai Xcent,Hyundai,S 1.2 OPT,2015,Manual,"42,587",1st,PetrolKA-53,"₹9,501/month","₹4,86,000",Zero Down Payment
47,Maruti Baleno,Maruti,SIGMA DIESEL 1.3,2018,Manual,"78,631",1st,DieselKA-05,"₹13,157/month","₹6,73,000",Zero Down Payment
48,Maruti SWIFT,Maruti,VDI ABS,2011,Manual,"91,007",2nd,DieselKA-51,"₹6,276/month","₹3,21,000",Zero Down Payment
49,Maruti Swift,Maruti,LXI,2018,Manual,"46,789",1st,PetrolKA-03,"₹10,948/month","₹5,60,000",Zero Down Payment
50,Ford Ecosport,Ford,1.5TITANIUM TDCI,2014,Manual,"86,820",1st,DieselKA-05,"₹12,473/month","₹6,38,000",Zero Down Payment
51,Mahindra TUV300,Mahindra,T4 PLUS,2017,Manual,"1,22,137",2nd,DieselKA-50,"₹9,775/month","₹5,00,000",Zero Down Payment
52,Hyundai Grand i10,Hyundai,SPORTZ (O) 1.2 KAPPA VTVT,2017,Manual,"13,428",1st,PetrolKA-53,"₹11,613/month","₹5,94,000",Zero Down Payment
53,Maruti ALTO 800,Maruti,VXI,2014,Manual,"61,218",1st,PetrolKA-05,"₹5,279/month","₹2,70,000",Zero Down Payment
54,Maruti SWIFT,Maruti,ZXI,2016,Manual,"67,389",1st,PetrolKA-03,"₹11,906/month","₹6,09,000",Zero Down Payment
55,HONDA CITY,HONDA,1.5L I-VTEC V AT,2011,Automatic,"84,680",1st,PetrolKA-41,"₹7,996/month","₹4,09,000",Zero Down Payment
56,FORD FREESTYLE,FORD,TITANIUM 1.5 DIESEL,2018,Manual,"61,129",1st,DieselKA-04,"₹14,721/month","₹7,53,000",Zero Down Payment
57,Maruti SWIFT DZIRE,Maruti,VXI,2010,Manual,"43,603",1st,PetrolKA-53,"₹6,862/month","₹3,51,000",Zero Down Payment
58,Ford FREESTYLE,Ford,TITANIUM 1.2 TI-VCT MT,2020,Manual,"13,239",1st,PetrolKA-05,"₹13,196/month","₹6,75,000",Zero Down Payment
59,Maruti Ciaz,Maruti,ZXI,2016,Manual,"72,907",1st,PetrolKA-51,"₹12,414/month","₹6,35,000",Zero Down Payment
60,Renault Kwid,Renault,1.0 RXL,2017,Manual,"25,553",2nd,PetrolKA-05,"₹7,194/month","₹3,68,000",Zero Down Payment
61,Maruti Swift,Maruti,ZXI AMT,2022,Automatic,"3,382",1st,PetrolKA-51,"₹15,265/month","₹8,02,000","₹15,679/month"
62,Hyundai New Elantra,Hyundai,2.0 SX(O) AT PETROL,2019,Automatic,"11,290",2nd,PetrolKA-04,"₹29,636/month","₹15,57,000","₹30,440/month"
63,Maruti ERTIGA,Maruti,ZXI SHVS,2020,Manual,"15,699",1st,PetrolKA-03,"₹20,195/month","₹10,61,000","₹20,743/month"
64,NISSAN TERRANO,NISSAN,XL PLUS 85 PS DEISEL,2013,Manual,"77,787",2nd,DieselKA-03,"₹11,632/month","₹5,95,000",Zero Down Payment
65,Honda WR-V,Honda,1.2 i-VTEC S MT,2017,Manual,"20,936",1st,PetrolKA-03,"₹13,646/month","₹6,98,000",Zero Down Payment
66,Maruti BALENO,Maruti,ZETA 1.2 K12,2018,Manual,"34,491",2nd,PetrolKA-33,"₹12,219/month","₹6,25,000",Zero Down Payment
67,VOLKSWAGEN POLO,VOLKSWAGEN,HIGHLINE PLUS 1.0,2021,Manual,"22,899",1st,PetrolKA-01,"₹18,710/month","₹9,83,000","₹19,218/month"
68,Maruti Swift,Maruti,ZDI AMT,2018,Automatic,"56,697",1st,DieselKA-04,"₹14,174/month","₹7,25,000",Zero Down Payment
69,Honda City,Honda,V MT PETROL,2012,Manual,"72,234",1st,PetrolKA-51,"₹9,619/month","₹4,92,000",Zero Down Payment
70,Maruti RITZ,Maruti,LXI,2010,Manual,"62,568",2nd,PetrolKA-03,"₹5,552/month","₹2,84,000",Zero Down Payment
71,Maruti CIAZ,Maruti,LPHA 1.5 MT VTVT SHVS,2019,Manual,"39,980",1st,PetrolKA-13,"₹15,054/month","₹7,70,000",Zero Down Payment
72,Hyundai GRAND I10 NIOS,Hyundai,SPORTZ PETROL,2020,Manual,"51,683",1st,PetrolKA-01,"₹12,688/month","₹6,49,000",Zero Down Payment
73,Datsun Redi Go,Datsun,1.0 T(O),2018,Manual,"55,547",2nd,PetrolKA-19,"₹5,650/month","₹2,89,000",Zero Down Payment
74,Ford FREESTYLE,Ford,TITANIUM 1.5 DIESEL,2018,Manual,"94,877",1st,DieselKA-18,"₹11,730/month","₹6,00,000",Zero Down Payment
75,Hyundai Verna,Hyundai,FLUIDIC 1.6 SX CRDI OPT,2014,Manual,"94,218",1st,DieselKA-02,"₹12,062/month","₹6,17,000",Zero Down Payment
76,Maruti Ciaz,Maruti,VXI (O),2016,Manual,"72,394",1st,PetrolKA-51,"₹11,320/month","₹5,79,000",Zero Down Payment
77,Tata Harrier,Tata,XZ 2.0L Kryotec,2019,Manual,"42,757",1st,DieselKA-51,"₹27,637/month","₹14,52,000","₹28,387/month"
78,HYUNDAI VERNA,HYUNDAI,FLUIDIC 1.6 CRDI SX OPT AT,2014,Automatic,"69,232",2nd,DieselKA-51,"₹13,060/month","₹6,68,000",Zero Down Payment
79,Tata ALTROZ,Tata,XZ 1.2,2020,Manual,"20,302",1st,PetrolKA-45,"₹15,406/month","₹7,88,000",Zero Down Payment
80,Maruti SWIFT,Maruti,VXI,2011,Manual,"88,266",1st,PetrolKA-01,"₹7,625/month","₹3,90,000",Zero Down Payment
81,Tata NEXON,Tata,XM PETROL,2018,Manual,"44,428",2nd,PetrolKA-04,"₹14,858/month","₹7,60,000",Zero Down Payment
82,Volkswagen POLO,Volkswagen,HIGHLINE PLUS 1.0 TSI MT,2020,Manual,"97,448",1st,PetrolKA-25,"₹15,951/month","₹8,38,000","₹16,383/month"
83,RENAULT DUSTER,RENAULT,RXZ DIESEL 110,2018,Manual,"58,204",1st,DieselKA-03,"₹16,560/month","₹8,70,000","₹17,009/month"
84,Honda Amaze,Honda,1.2L I-VTEC S,2018,Manual,"33,479",1st,PetrolKA-01,"₹12,805/month","₹6,55,000",Zero Down Payment
85,Hyundai Verna,Hyundai,1.4 E PETROL,2018,Manual,"10,821",1st,PetrolKA-04,"₹16,312/month","₹8,57,000","₹16,755/month"
86,Tata Tiago,Tata,XZ 1.2 REVOTRON,2017,Manual,"50,522",1st,PetrolKA-02,"₹9,736/month","₹4,98,000",Zero Down Payment
87,Volkswagen Vento,Volkswagen,HIGHLINE PETROL,2016,Manual,"28,671",2nd,PetrolKA-01,"₹13,216/month","₹6,76,000",Zero Down Payment
88,HYUNDAI NEW SANTRO,HYUNDAI,SPORTZ MT,2018,Manual,"37,352",1st,PetrolKA-09,"₹9,462/month","₹4,84,000",Zero Down Payment
89,HYUNDAI ELITE I20,HYUNDAI,STA 1.2 (O),2018,Manual,"77,794",1st,PetrolKA-09,"₹13,802/month","₹7,06,000",Zero Down Payment
90,Tata ALTROZ,Tata,XE PETROL,2021,Manual,"35,172",1st,PetrolKA-05,"₹13,138/month","₹6,72,000",Zero Down Payment
91,HYUNDAI GRAND I10,HYUNDAI,SPORTZ (O) 1.2 KAPPA VTVT,2017,Manual,"70,049",2nd,PetrolKA-42,"₹9,677/month","₹4,95,000",Zero Down Payment
92,Maruti Swift Dzire,Maruti,VXI 1.3,2009,Manual,"70,353",1st,PetrolKA-01,"₹5,924/month","₹3,03,000",Zero Down Payment
93,KIA SELTOS,KIA,HTK 1.5 DIESEL,2020,Manual,"37,245",1st,DieselKA-02,"₹23,850/month","₹12,53,000","₹24,496/month"
94,HYUNDAI ELITE I20,HYUNDAI,STA 1.2,2017,Manual,"18,750",1st,PetrolKA-05,"₹13,490/month","₹6,90,000",Zero Down Payment
95,Volkswagen Polo,Volkswagen,GT TSI 1.2 PETROL AT,2018,Automatic,"53,827",1st,PetrolKA-03,"₹17,454/month","₹9,17,000","₹17,928/month"
96,Renault TRIBER,Renault,1.0 RXZ,2019,Manual,"16,157",2nd,PetrolKA-53,"₹13,079/month","₹6,69,000",Zero Down Payment
97,Tata PUNCH,Tata,CCOMPLISHED MT,2022,Manual,"12,361",2nd,PetrolKA-25,"₹14,858/month","₹7,60,000",Zero Down Payment
98,TATA ZEST,TATA,XT PETROL,2014,Manual,"49,872",1st,PetrolKA-03,"₹8,211/month","₹4,20,000",Zero Down Payment
99,Volkswagen Vento,Volkswagen,TRENDLINE PETROL,2012,Manual,"85,639",1st,PetrolKA-03,"₹7,703/month","₹3,94,000",Zero Down Payment
100,Hyundai VENUE,Hyundai,S 1.2,2021,Manual,"4,008",1st,PetrolKA-19,"₹16,750/month","₹8,80,000","₹17,204/month"
101,Maruti Ertiga,Maruti,ZDI + SHVS,2018,Manual,"64,563",2nd,DieselKA-21,"₹19,472/month","₹10,23,000","₹20,000/month"
102,Tata NEXON,Tata,XM SUNROOF 1.2 RTN,2021,Manual,"36,107",1st,PetrolKA-51,"₹18,653/month","₹9,80,000","₹19,159/month"
103,Tata Zest,Tata,XT RT,2015,Manual,"49,399",2nd,PetrolKA-03,"₹8,504/month","₹4,35,000",Zero Down Payment
104,Hyundai Verna,Hyundai,FLUIDIC 1.6 SX VTVT,2016,Manual,"33,419",1st,PetrolKA-53,"₹14,545/month","₹7,44,000",Zero Down Payment
105,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT,2014,Manual,"38,007",2nd,PetrolKA-51,"₹8,231/month","₹4,21,000",Zero Down Payment
106,Nissan MAGNITE,Nissan,XL,2021,Manual,"26,095",1st,PetrolKA-05,"₹14,330/month","₹7,33,000",Zero Down Payment
107,Renault Kiger,Renault,RXZ CVT 1.0 TURBO DUAL TONE,2021,Automatic,"21,642",2nd,PetrolKA-51,"₹19,510/month","₹10,25,000","₹20,039/month"
108,Mahindra Thar,Mahindra,CRDE 4X4 BS IV,2015,Manual,"41,493",2nd,DieselKA-51,"₹17,245/month","₹9,06,000","₹17,712/month"
109,Maruti Ertiga,Maruti,VDI SHVS,2017,Manual,"77,827",1st,DieselKA-03,"₹16,388/month","₹8,61,000","₹16,833/month"
110,Hyundai Verna,Hyundai,SX (O) 1.5 VTVT IVT,2021,Automatic,"24,255",1st,PetrolKA-22,"₹27,904/month","₹14,66,000","₹28,661/month"
111,Maruti Baleno,Maruti,ZETA CVT PETROL 1.2,2016,Automatic,"30,959",2nd,PetrolKA-04,"₹12,473/month","₹6,38,000",Zero Down Payment
112,Maruti EECO,Maruti,5 STR WITH A/C+HTR,2019,Manual,"12,344",2nd,PetrolKA-19,"₹9,404/month","₹4,81,000",Zero Down Payment
113,Maruti Ertiga,Maruti,VDI,2012,Manual,"98,413",2nd,DieselKA-51,"₹12,375/month","₹6,33,000",Zero Down Payment
114,Hyundai i20,Hyundai,AGNA (O) 1.2,2011,Manual,"88,570",2nd,PetrolKA-51,"₹6,315/month","₹3,23,000",Zero Down Payment
115,Maruti Wagon R 1.0,Maruti,VXI,2010,Manual,"72,043",1st,PetrolKA-04,"₹5,415/month","₹2,77,000",Zero Down Payment
116,Hyundai Creta,Hyundai,SX PLUS AT 1.6 DIESEL,2018,Automatic,"69,160",1st,DieselKA-03,"₹23,793/month","₹12,50,000","₹24,438/month"
117,Maruti WAGON R,Maruti,LXI,2010,Manual,"51,884",2nd,PetrolKA-05,"₹4,633/month","₹2,37,000",Zero Down Payment
118,Honda Jazz,Honda,1.2 V MT,2016,Manual,"25,149",1st,PetrolKA-03,"₹12,395/month","₹6,34,000",Zero Down Payment
119,MAHINDRA TUV300,MAHINDRA,T4 PLUS,2017,Manual,"37,855",2nd,DieselKA-05,"₹11,632/month","₹5,95,000",Zero Down Payment
120,Datsun Redi Go,Datsun,T,2017,Manual,"29,354",1st,PetrolKA-02,"₹5,650/month","₹2,89,000",Zero Down Payment
121,MAHINDRA KUV100,MAHINDRA,K8 6 STR,2016,Manual,"35,457",1st,PetrolKA-01,"₹9,580/month","₹4,90,000",Zero Down Payment
122,Skoda Rapid,Skoda,1.6 MPI STYLE AT,2018,Automatic,"16,231",1st,PetrolKA-03,"₹20,671/month","₹10,86,000","₹21,232/month"
123,Hyundai AURA,Hyundai,SX 1.2 (O),2020,Manual,"25,210",1st,PetrolKA-19,"₹15,418/month","₹8,10,000","₹15,836/month"
124,Tata Tiago,Tata,XZA PETROL,2017,Automatic,"39,050",2nd,PetrolKA-05,"₹9,931/month","₹5,08,000",Zero Down Payment
125,Tata ALTROZ,Tata,XM PLUS PETROL,2021,Manual,"19,794",1st,PetrolKA-04,"₹14,975/month","₹7,66,000",Zero Down Payment
126,Maruti Swift Dzire,Maruti,VXI,2014,Manual,"27,895",2nd,PetrolKA-03,"₹9,857/month","₹5,04,200",Zero Down Payment
127,Tata Tiago,Tata,XZ PETROL,2018,Manual,"83,340",1st,CNGKA-04,"₹9,677/month","₹4,95,000",Zero Down Payment
128,Tata TIGOR,Tata,XZ (O) PETROL,2018,Manual,"33,783",2nd,PetrolKA-01,"₹10,987/month","₹5,62,000",Zero Down Payment
129,MG ASTOR,MG,SAVVY 1.5 CVT S RED,2022,Automatic,"3,751",1st,PetrolKA-05,"₹34,166/month","₹17,95,000","₹35,093/month"
130,Honda City,Honda,1.5L I-VTEC VX CVT,2015,Automatic,"57,461",1st,PetrolKA-04,"₹14,369/month","₹7,35,000",Zero Down Payment
131,Skoda Rapid,Skoda,CTIVE 1.0 TSI,2020,Manual,"11,633",1st,PetrolKA-05,"₹17,435/month","₹9,16,000","₹17,908/month"
132,Skoda KUSHAQ,Skoda,STYLE 1.5 TSI MT,2021,Manual,"10,928",1st,PetrolKA-51,"₹29,750/month","₹15,63,000","₹30,557/month"
133,Honda City,Honda,1.5L I-VTEC V MT,2015,Manual,"68,842",1st,PetrolKA-05,"₹12,414/month","₹6,35,000",Zero Down Payment
134,VOLKSWAGEN POLO,VOLKSWAGEN,HIGHLINE1.2L PETROL,2015,Manual,"69,081",2nd,PetrolKA-03,"₹11,437/month","₹5,85,000",Zero Down Payment
135,Hyundai i20,Hyundai,AGNA (O) 1.2,2013,Manual,"61,131",1st,PetrolKA-22,"₹8,602/month","₹4,40,000",Zero Down Payment
136,Maruti Ciaz,Maruti,ZDI,2015,Manual,"75,287",2nd,DieselKA-04,"₹12,675/month","₹6,48,350",Zero Down Payment
137,Renault Duster,Renault,RXZ 85 PS DIESEL,2017,Manual,"60,965",1st,DieselKA-05,"₹17,740/month","₹9,32,000","₹18,221/month"
138,TOYOTA Glanza,TOYOTA,V,2019,Manual,"72,277",2nd,PetrolKA-03,"₹12,688/month","₹6,49,000",Zero Down Payment
139,Honda City,Honda,1.5L I-VTEC V MT,2017,Manual,"69,050",2nd,PetrolKA-05,"₹14,467/month","₹7,40,000",Zero Down Payment
140,Hyundai Creta,Hyundai,1.6 SX CRDI,2017,Manual,"70,608",1st,DieselKA-05,"₹20,271/month","₹10,65,000","₹20,821/month"
141,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT CVT,2019,Automatic,"9,271",1st,PetrolKA-51,"₹16,046/month","₹8,43,000","₹16,481/month"
142,Volkswagen Vento,Volkswagen,HIGHLINE 1.2 TSI AT,2016,Automatic,"27,783",1st,PetrolKA-03,"₹18,482/month","₹9,71,000","₹18,983/month"
143,Hyundai NEW I20,Hyundai,SPORTZ 1.2 MT,2021,Manual,"31,655",1st,PetrolKA-50,"₹15,484/month","₹7,92,000",Zero Down Payment
144,KIA SELTOS,KIA,HTK PLUS 1.5 DIESEL,2019,Automatic,"29,634",1st,DieselKA-04,"₹26,134/month","₹13,73,000","₹26,842/month"
145,Maruti IGNIS,Maruti,SIGMA 1.2,2018,Manual,"91,394",1st,PetrolKA-25,"₹8,856/month","₹4,53,000",Zero Down Payment
146,Renault Kiger,Renault,RXZ MT,2021,Manual,"15,105",2nd,PetrolKA-04,"₹16,350/month","₹8,59,000","₹16,794/month"
147,HONDA CITY,HONDA,V MT PETROL,2015,Manual,"52,340",1st,PetrolKA-05,"₹13,314/month","₹6,81,000",Zero Down Payment
148,Maruti Celerio,Maruti,ZXI AMT,2021,Automatic,"12,364",1st,PetrolKA-04,"₹12,297/month","₹6,29,000",Zero Down Payment
149,Honda BR-V,Honda,1.5L I-VTEC V CVT,2017,Automatic,"23,055",1st,PetrolKA-01,"₹17,664/month","₹9,28,000","₹18,143/month"
150,DATSUN GO PLUS,DATSUN,T(O),2019,Manual,"24,895",1st,PetrolKA-05,"₹10,538/month","₹5,39,000",Zero Down Payment
151,Tata Tiago,Tata,XZ PETROL,2019,Manual,"21,635",1st,PetrolKA-05,"₹11,183/month","₹5,72,000",Zero Down Payment
152,Honda Jazz,Honda,1.2L I-VTEC V AT,2016,Automatic,"91,644",1st,PetrolKA-03,"₹10,694/month","₹5,47,000",Zero Down Payment
153,Maruti Swift,Maruti,VXI,2014,Manual,"85,162",1st,PetrolKA-01,"₹9,795/month","₹5,01,000",Zero Down Payment
154,Mahindra XUV 3OO,Mahindra,1.2 W8 OPT,2020,Manual,"26,776",2nd,PetrolKA-51,"₹19,015/month","₹9,99,000","₹19,531/month"
155,Hyundai i10,Hyundai,AGNA 1.1,2016,Manual,"35,851",1st,PetrolKA-42,"₹7,957/month","₹4,07,000",Zero Down Payment
156,Skoda Rapid,Skoda,1.6 MPI STYLE AT,2017,Automatic,"63,005",2nd,PetrolKA-03,"₹15,494/month","₹8,14,000","₹15,914/month"
157,HYUNDAI VERNA,HYUNDAI,FLUIDIC 1.6 CRDI SX AT,2014,Automatic,"96,267",1st,DieselKA-03,"₹12,278/month","₹6,28,000",Zero Down Payment
158,Honda Amaze,Honda,1.2L I-VTEC VX,2017,Manual,"22,321",1st,PetrolKA-41,"₹11,808/month","₹6,04,000",Zero Down Payment
159,Hyundai Elite i20,Hyundai,Sportz 1.2 VTVT MT,2016,Manual,"23,000",1st,PetrolKA-25,"₹12,590/month","₹6,44,000",Zero Down Payment
160,Hyundai Creta,Hyundai,1.6 SX PLUS PETROL,2018,Manual,"25,434",2nd,PetrolKA-41,"₹20,595/month","₹10,82,000","₹21,153/month"
161,Datsun Redi Go,Datsun,S 1.0,2017,Manual,"64,902",1st,PetrolKA-05,"₹5,728/month","₹2,93,000",Zero Down Payment
162,Maruti Swift,Maruti,VXI,2012,Manual,"46,842",1st,PetrolKA-04,"₹8,426/month","₹4,31,000",Zero Down Payment
163,FORD FREESTYLE,FORD,TITANIUM 1.2 PETROL,2018,Manual,"62,700",2nd,PetrolKA-51,"₹12,023/month","₹6,15,000",Zero Down Payment
164,Toyota Corolla Altis,Toyota,VL AT,2018,Automatic,"67,960",2nd,PetrolKA-22,"₹25,886/month","₹13,60,000","₹26,588/month"
165,HONDA AMAZE,HONDA,1.2 SMT I VTEC,2015,Manual,"61,390",1st,PetrolKA-05,"₹9,404/month","₹4,81,000",Zero Down Payment
166,Maruti Wagon R,Maruti,VXI,2010,Manual,"92,134",2nd,PetrolKA-41,"₹5,005/month","₹2,56,000",Zero Down Payment
167,Hyundai GRAND I10 NIOS,Hyundai,SPORTZ PETROL,2020,Manual,"27,323",1st,PetrolKA-05,"₹13,079/month","₹6,69,000",Zero Down Payment
168,Hyundai I20 ACTIVE,Hyundai,1.2,2015,Manual,"68,253",1st,PetrolKA-05,"₹11,554/month","₹5,91,000",Zero Down Payment
169,Fiat URBAN CROSS,Fiat,EMOTION MULTIJET 1.3,2018,Manual,"36,952",1st,DieselKA-05,"₹13,920/month","₹7,12,000",Zero Down Payment
170,HYUNDAI EON,HYUNDAI,SPORTZ,2018,Manual,"13,944",2nd,PetrolKA-01,"₹7,507/month","₹3,84,000",Zero Down Payment
171,Maruti S Cross,Maruti,SIGMA 1.5,2020,Manual,"35,754",1st,PetrolKA-22,"₹17,226/month","₹9,05,000","₹17,693/month"
172,Hyundai i20,Hyundai,AGNA O 1.2,2014,Manual,"52,599",2nd,PetrolKA-03,"₹9,130/month","₹4,67,000",Zero Down Payment
173,Hyundai i20 Active,Hyundai,1.4 SX,2015,Manual,"56,762",1st,DieselKA-05,"₹12,336/month","₹6,31,000",Zero Down Payment
174,Maruti Vitara Brezza,Maruti,LDI (O),2016,Manual,"82,685",1st,DieselKA-51,"₹14,174/month","₹7,25,000",Zero Down Payment
175,Maruti Dzire,Maruti,ZXI Plus,2020,Manual,"10,037",2nd,PetrolKA-53,"₹15,932/month","₹8,37,000","₹16,364/month"
176,Renault Duster,Renault,RXZ 85 PS DIESEL,2017,Manual,"27,977",1st,DieselKA-51,"₹18,939/month","₹9,95,000","₹19,452/month"
177,Renault TRIBER,Renault,RXZ AMT,2020,Automatic,"7,756",1st,PetrolKA-03,"₹15,210/month","₹7,78,000",Zero Down Payment
178,Renault Kiger,Renault,RXZ CVT 1.0 TURBO,2021,Automatic,"32,302",1st,PetrolKA-51,"₹20,538/month","₹10,79,000","₹21,095/month"
179,Renault Kiger,Renault,RXZ TURBO MT,2021,Manual,"27,839",1st,PetrolKA-14,"₹17,188/month","₹9,03,000","₹17,654/month"
180,HYUNDAI CRETA,HYUNDAI,1.6 SX (O) VTVT,2019,Manual,"60,781",1st,PetrolKA-27,"₹22,536/month","₹11,84,000","₹23,147/month"
181,Hyundai VENUE,Hyundai,S 1.2,2020,Manual,"12,183",1st,PetrolKA-05,"₹16,807/month","₹8,83,000","₹17,263/month"
182,RENAULT DUSTER,RENAULT,85 PS RXL,2013,Manual,"93,819",1st,DieselKA-02,"₹11,241/month","₹5,75,000",Zero Down Payment
183,Maruti Swift,Maruti,VXI AMT,2018,Automatic,"42,162",2nd,PetrolKA-03,"₹14,154/month","₹7,24,000",Zero Down Payment
184,Maruti RITZ,Maruti,VXI,2010,Manual,"75,399",1st,PetrolKA-19,"₹5,728/month","₹2,93,000",Zero Down Payment
185,Tata Tiago,Tata,XZ 1.2 REVOTRON,2018,Manual,"36,738",1st,PetrolKA-03,"₹10,518/month","₹5,38,000",Zero Down Payment
186,Maruti Swift,Maruti,VXI,2020,Manual,"9,085",1st,PetrolKA-05,"₹13,861/month","₹7,09,000",Zero Down Payment
187,Maruti Swift Dzire,Maruti,ZXI,2014,Manual,"89,128",1st,PetrolKA-01,"₹10,577/month","₹5,41,000",Zero Down Payment
188,Skoda KUSHAQ,Skoda,CTIVE 1.0 TSI MT,2021,Manual,"32,900",1st,PetrolKA-02,"₹22,574/month","₹11,86,000","₹23,187/month"
189,HONDA CITY,HONDA,1.5L I-VTEC SV,2014,Manual,"29,798",1st,PetrolKA-03,"₹12,551/month","₹6,42,000",Zero Down Payment
190,Hyundai i10,Hyundai,SPORTZ 1.2,2011,Manual,"47,585",1st,PetrolKA-04,"₹6,158/month","₹3,15,000",Zero Down Payment
191,Maruti Wagon R 1.0,Maruti,VXI,2011,Manual,"73,653",1st,PetrolKA-05,"₹5,650/month","₹2,89,000",Zero Down Payment
192,Honda Amaze,Honda,1.5L I-DTEC VX,2013,Manual,"98,197",2nd,DieselKA-03,"₹8,133/month","₹4,16,000",Zero Down Payment
193,Hyundai NEW I20,Hyundai,STA (O) 1.2 MT,2021,Manual,"18,780",1st,PetrolKA-19,"₹18,577/month","₹9,76,000","₹19,081/month"
194,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA,2020,Manual,"23,330",1st,PetrolKA-04,"₹16,522/month","₹8,68,000","₹16,970/month"
195,KIA SELTOS,KIA,GTX 1.4 GDI AT PETROL,2019,Automatic,"32,988",2nd,PetrolKA-05,"₹27,466/month","₹14,43,000","₹28,211/month"
196,Volkswagen Vento,Volkswagen,HIGHLINE 1.5 AT,2016,Automatic,"80,212",1st,DieselKA-01,"₹15,494/month","₹8,14,000","₹15,914/month"
197,Mahindra Thar,Mahindra,LX D 4*4 MT HT,2021,Manual,"20,614",2nd,DieselKA-12,"₹30,778/month","₹16,17,000","₹31,613/month"
198,Renault Kiger,Renault,RXZ TURBO CVT DUAL TONE,2021,Automatic,"14,426",1st,PetrolKA-03,"₹21,299/month","₹11,19,000","₹21,877/month"
199,Maruti Ritz,Maruti,VXI,2014,Manual,"32,713",1st,PetrolKA-41,"₹8,035/month","₹4,11,000",Zero Down Payment
200,Mahindra Bolero,Mahindra,B6 (O),2022,Manual,"20,376",1st,DieselKA-01,"₹21,566/month","₹11,33,000","₹22,150/month"
201,Skoda Rapid,Skoda,ONTE CARLO 1.6 MPI MT,2019,Manual,"17,289",1st,PetrolKA-05,"₹22,175/month","₹11,65,000","₹22,776/month"
202,Hyundai Verna,Hyundai,1.6 VTVT SX O,2017,Manual,"38,396",1st,PetrolKA-51,"₹17,587/month","₹9,24,000","₹18,064/month"
203,FORD NEW FIGO,FORD,TITANIUM 1.2 PETROL MT,2019,Manual,"37,736",2nd,PetrolKA-19,"₹11,535/month","₹5,90,000",Zero Down Payment
204,Renault Kiger,Renault,RXZ CVT 1.0 TURBO DUAL TONE,2021,Automatic,"17,522",1st,PetrolKA-04,"₹21,014/month","₹11,04,000","₹21,583/month"
205,MAHINDRA SCORPIO,MAHINDRA,S10,2014,Manual,"52,627",1st,DieselKA-03,"₹18,901/month","₹9,93,000","₹19,413/month"
206,RENAULT KWID,RENAULT,CLIMBER 1.0 (O),2021,Manual,"20,023",1st,PetrolKA-14,"₹11,378/month","₹5,82,000",Zero Down Payment
207,Hyundai Verna,Hyundai,SX (O) 1.5 CRDI,2020,Manual,"32,987",1st,DieselKA-19,"₹27,904/month","₹14,66,000","₹28,661/month"
208,MAHINDRA KUV100,MAHINDRA,K8 D 6 STR,2016,Manual,"46,961",2nd,DieselKA-09,"₹9,501/month","₹4,86,000",Zero Down Payment
209,Hyundai Verna,Hyundai,1.4 EX PETROL,2018,Manual,"46,631",1st,PetrolKA-11,"₹16,084/month","₹8,45,000","₹16,520/month"
210,HYUNDAI SANTRO XING,HYUNDAI,GL PLUS,2011,Manual,"79,501",1st,PetrolKA-41,"₹4,927/month","₹2,52,000",Zero Down Payment
211,HYUNDAI NEW SANTRO,HYUNDAI,SPORTZ EXECUTIVE MT CNG,2021,Manual,"11,063",1st,CNGKA-63,"₹12,336/month","₹6,31,000",Zero Down Payment
